admin1,Admin1Pcod,Admin2,Admin2Pcod,Admin3,Admin3Pcod,Fem,Mas,Total local,Total PDI,TOTAL,%_PDI,%_local
Boucle du Mouhoun,BF46,Bale,BF4601,Bagassi,BF460101,"24,218","23,414",47632,#N/A,"47,632",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Bana,BF460102,"9,115","9,475",18590,#N/A,"18,590",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Boromo,BF460103,"21,501","21,183",42684,557,"43,241",1%,99%
Boucle du Mouhoun,BF46,Bale,BF4601,Fara,BF460104,"27,826","25,322",53148,44,"53,192",0%,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Ouri,BF460105,"18,690","19,641",38331,#N/A,"38,331",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Pa,BF460106,"14,686","13,563",28249,106,"28,355",0%,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Pompoi,BF460107,"7,973","7,803",15776,#N/A,"15,776",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Poura,BF460108,"8,307","8,890",17197,639,"17,836",4%,96%
Boucle du Mouhoun,BF46,Bale,BF4601,Siby,BF460109,"10,095","9,992",20087,244,"20,331",1%,99%
Boucle du Mouhoun,BF46,Bale,BF4601,Yaho,BF460110,"12,032","11,467",23499,#N/A,"23,499",#N/A,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Balave,BF460201,"11,722","11,281",23003,58,"23,061",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Kouka,BF460202,"42,544","41,399",83943,108,"84,051",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Sami,BF460203,"6,229","6,023",12252,#N/A,"12,252",#N/A,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Sanaba,BF460204,"23,901","22,969",46870,112,"46,982",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Solenzo,BF460205,"87,267","85,706",172973,714,"173,687",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Tansila,BF460206,"21,897","21,552",43449,#N/A,"43,449",#N/A,100%
