"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","modalite","group_pop","pdi","direct",1,NA,NA,NA,"admin1","centre_est"
"2","modalite","group_pop","pop_local","direct",1,NA,NA,NA,"admin1","centre_est"
"3","modalite","group_pop","pdi","direct",0.493670886075949,NA,0.455849802505831,0.531491969646068,"admin1","sahel"
"4","modalite","group_pop","pdi","telephone",0.506329113924051,NA,0.468508030353932,0.544150197494169,"admin1","sahel"
"5","modalite","group_pop","pop_local","direct",0.569620253164557,NA,0.53718270536928,0.602057800959834,"admin1","sahel"
"6","modalite","group_pop","pop_local","telephone",0.430379746835443,NA,0.397942199040166,0.46281729463072,"admin1","sahel"
"7","modalite","group_pop","pdi","direct",0.584375,NA,0.538969770668746,0.629780229331254,"admin1","centre_nord"
"8","modalite","group_pop","pdi","telephone",0.415625,NA,0.370219770668746,0.461030229331254,"admin1","centre_nord"
"9","modalite","group_pop","pop_local","direct",0.836633663366337,NA,0.806319716328546,0.866947610404127,"admin1","centre_nord"
"10","modalite","group_pop","pop_local","telephone",0.163366336633663,NA,0.133052389595873,0.193680283671454,"admin1","centre_nord"
"dependent.var","modalite","group_pop","pop_local","direct",1,NA,NA,NA,"admin1","centre_ouest"
"13","modalite","group_pop","pdi","direct",0.606870229007634,NA,0.557144546148159,0.656595911867108,"admin1","nord"
"21","modalite","group_pop","pdi","telephone",0.393129770992366,NA,0.343404088132892,0.442855453851841,"admin1","nord"
"31","modalite","group_pop","pop_local","direct",0.727619047619048,NA,0.695602369977666,0.75963572526043,"admin1","nord"
"41","modalite","group_pop","pop_local","telephone",0.272380952380952,NA,0.240364274739571,0.304397630022334,"admin1","nord"
"14","modalite","group_pop","pdi","direct",0.581920903954802,NA,0.520856051295291,0.642985756614313,"admin1","boucle_du_mouhoun"
"22","modalite","group_pop","pdi","telephone",0.418079096045198,NA,0.357014243385687,0.479143948704709,"admin1","boucle_du_mouhoun"
"32","modalite","group_pop","pop_local","direct",0.845714285714286,NA,0.825600797032281,0.86582777439629,"admin1","boucle_du_mouhoun"
"42","modalite","group_pop","pop_local","telephone",0.154285714285714,NA,0.13417222560371,0.174399202967719,"admin1","boucle_du_mouhoun"
"15","modalite","group_pop","pdi","direct",1,NA,1,1,"admin1","hauts_bassins"
"23","modalite","group_pop","pop_local","direct",0.963636363636364,NA,0.934022067053862,0.993250660218865,"admin1","hauts_bassins"
"33","modalite","group_pop","pop_local","telephone",0.0363636363636364,NA,0.00674933978113497,0.0659779329461377,"admin1","hauts_bassins"
"16","modalite","group_pop","pdi","direct",0.61986301369863,NA,0.573069606818581,0.666656420578679,"admin1","est"
"24","modalite","group_pop","pdi","telephone",0.38013698630137,NA,0.333343579421321,0.426930393181419,"admin1","est"
"34","modalite","group_pop","pop_local","direct",0.406657018813314,NA,0.375875773677571,0.437438263949057,"admin1","est"
"43","modalite","group_pop","pop_local","telephone",0.593342981186686,NA,0.562561736050943,0.624124226322429,"admin1","est"
"17","modalite","group_pop","pdi","direct",1,NA,1,1,"admin1","cascades"
"25","modalite","group_pop","pop_local","direct",0.819148936170213,NA,0.753199501230642,0.885098371109783,"admin1","cascades"
"35","modalite","group_pop","pop_local","telephone",0.180851063829787,NA,0.114901628890217,0.246800498769357,"admin1","cascades"
"18","modalite","group_pop","pdi","direct",1,NA,NA,NA,"admin1","plateau_central"
"26","modalite","group_pop","pop_local","direct",1,NA,NA,NA,"admin1","plateau_central"
"dependent.var1","modalite","group_pop","pop_local","direct",1,NA,NA,NA,"admin1","centre_sud"
"19","modalite","group_pop","pop_local","direct",0.833333333333333,NA,0.777139646363235,0.889527020303432,"admin1","sud_ouest"
